checkpoint,task_suite,task_id,task_description,episodes,successes,success_rate
openvla-7b-finetuned-libero-spatial,libero_spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,3,3,1.0
openvla-7b-finetuned-libero-spatial,libero_spatial,1,pick up the black bowl next to the ramekin and place it on the plate,3,3,1.0
openvla-7b-finetuned-libero-spatial,libero_spatial,2,pick up the black bowl from table center and place it on the plate,3,3,1.0
openvla-7b-finetuned-libero-spatial,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,3,3,1.0
openvla-7b-finetuned-libero-spatial,libero_spatial,4,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,3,1,0.3333
openvla-7b-finetuned-libero-spatial,libero_spatial,5,pick up the black bowl on the ramekin and place it on the plate,3,1,0.3333
openvla-7b-finetuned-libero-spatial,libero_spatial,6,pick up the black bowl next to the cookie box and place it on the plate,3,2,0.6667
openvla-7b-finetuned-libero-spatial,libero_spatial,7,pick up the black bowl on the stove and place it on the plate,3,2,0.6667
openvla-7b-finetuned-libero-spatial,libero_spatial,8,pick up the black bowl next to the plate and place it on the plate,3,2,0.6667
openvla-7b-finetuned-libero-spatial,libero_spatial,9,pick up the black bowl on the wooden cabinet and place it on the plate,3,3,1.0
